filename,low_ratio,mid_ratio,high_ratio,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
CKay_Love Nwantiti (Ah Ah Ah).wav,0.47605782747268677,0.5047164559364319,0.019225681200623512,-153.25282287597656,148.01197814941406,0.17850345373153687,44.720359802246094,-17.17572021484375,10.746353149414062,-12.222023963928223,6.422523498535156,-8.896285057067871,-5.384108066558838,-4.948720455169678,1.641270637512207,-0.7143712043762207,82.92642211914062,30.245418548583984,28.872037887573242,20.05925750732422,17.360328674316406,18.073341369628906,11.783674240112305,12.709512710571289,10.38332748413086,14.155938148498535,8.976814270019531,11.182243347167969,9.330138206481934
Camila Cabello Featuring Ed Sheeran_Bam Bam.wav,0.35044288635253906,0.597161591053009,0.0523955263197422,-192.36988830566406,108.33898162841797,-9.21045970916748,35.967315673828125,-19.283220291137695,34.741371154785156,-19.25922393798828,24.760644912719727,-14.459392547607422,6.230741024017334,-2.3021109104156494,-4.624661922454834,-6.697823524475098,84.56967163085938,33.94501495361328,21.702375411987305,22.13062858581543,21.90529441833496,15.884856224060059,17.083532333374023,13.549103736877441,13.468223571777344,11.720420837402344,11.012383460998535,9.830126762390137,8.597562789916992
"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast_We Don't Talk About Bruno.wav",0.4808485805988312,0.50904381275177,0.010107596404850483,-188.06234741210938,153.88546752929688,-12.712552070617676,36.29756546020508,-6.0079874992370605,24.648113250732422,-10.360557556152344,8.740880966186523,2.182549476623535,2.654723644256592,-0.9850652813911438,2.381981134414673,-3.555116891860962,77.8413314819336,38.41365051269531,18.634174346923828,23.603595733642578,20.293405532836914,18.41104507446289,13.081482887268066,12.875594139099121,9.933652877807617,11.292728424072266,11.144079208374023,9.343801498413086,8.64467716217041
Cody Johnson_'Til You Can't.wav,0.5660707950592041,0.4075203537940979,0.0264088474214077,-179.18040466308594,151.0132293701172,-7.5252227783203125,25.18383026123047,-2.730954170227051,26.469850540161133,-1.6135661602020264,5.4553117752075195,1.2462313175201416,0.45703446865081787,1.8159512281417847,-3.7563974857330322,-2.5582098960876465,67.0932846069336,36.10149383544922,18.925739288330078,24.89919090270996,18.489683151245117,17.534442901611328,18.81285285949707,10.533287048339844,9.893376350402832,8.89458179473877,8.970954895019531,8.470731735229492,8.166650772094727
Coi Leray_Players.wav,0.8661128878593445,0.10760708153247833,0.026279978454113007,-215.39447021484375,89.7058334350586,-2.9314377307891846,38.24991989135742,-1.6280014514923096,23.03116798400879,-2.3602664470672607,18.418485641479492,-3.263427734375,7.0541253089904785,4.349852085113525,2.3148441314697266,4.051410675048828,138.3042449951172,56.494773864746094,45.15252685546875,25.988012313842773,23.278980255126953,18.9503173828125,18.584627151489258,14.474244117736816,13.952268600463867,11.454965591430664,10.118932723999023,9.829926490783691,7.609195232391357
David Guetta & Bebe Rexha_I'm Good (Blue).wav,0.4263816475868225,0.5437138676643372,0.029904408380389214,-77.32032012939453,162.4208526611328,-49.15248107910156,54.67862319946289,-14.551708221435547,23.159780502319336,-17.74088478088379,16.326147079467773,-1.6963462829589844,-1.5541164875030518,6.765751838684082,1.3995013236999512,4.164594650268555,41.216434478759766,18.93547248840332,11.232817649841309,14.054607391357422,10.738746643066406,14.435040473937988,19.876195907592773,11.6054105758667,10.421891212463379,9.228346824645996,10.403290748596191,7.615296840667725,8.35278606414795
Doechii Featuring Kodak Black_What It Is (Block Boy).wav,0.6739668846130371,0.29477712512016296,0.031256042420864105,-200.37303161621094,97.52960205078125,-15.383639335632324,28.532506942749023,-6.8723249435424805,16.5386962890625,-14.075455665588379,5.39031982421875,-6.936783313751221,-6.62994909286499,-7.832475662231445,0.158286452293396,-10.935362815856934,119.51212310791016,46.100833892822266,42.25735092163086,26.60093116760254,29.59856605529785,17.5718994140625,19.572086334228516,17.48920249938965,16.4381160736084,15.909248352050781,13.482598304748535,14.3506498336792,12.791410446166992
Doja Cat_Vegas.wav,0.787261962890625,0.1934814155101776,0.019256621599197388,-199.62396240234375,147.4281768798828,-14.924602508544922,17.909189224243164,-13.839397430419922,5.213738918304443,-5.299438953399658,8.639233589172363,-0.9499654173851013,4.585565567016602,2.583728075027466,3.844003915786743,4.002902984619141,94.48651123046875,34.867435455322266,35.37642288208008,36.48223114013672,22.635881423950195,26.226394653320312,17.85643768310547,21.33391761779785,11.035283088684082,13.70913314819336,12.404749870300293,10.342864036560059,9.059523582458496
Drake & 21 Savage_Rich Flex.wav,0.22534073889255524,0.7229139804840088,0.05174533277750015,-266.5504455566406,154.82894897460938,-34.44050598144531,42.97102355957031,-10.639963150024414,4.205552577972412,-12.52736759185791,-5.754924297332764,-1.4623132944107056,-11.851725578308105,-12.70310115814209,-6.091317653656006,-3.8288838863372803,84.75592041015625,43.95412063598633,26.693815231323242,27.278759002685547,25.03662109375,24.662580490112305,14.168455123901367,13.09493350982666,13.20618724822998,16.5997371673584,10.97249698638916,17.448976516723633,11.726945877075195
Drake & 21 Savage_Spin Bout U.wav,0.8268537521362305,0.14593708515167236,0.02720922790467739,-136.99664306640625,118.15743255615234,-44.761375427246094,33.986392974853516,-28.587617874145508,9.624199867248535,-18.225801467895508,0.328630656003952,4.677233695983887,2.329676866531372,2.9892807006835938,17.491619110107422,10.599506378173828,79.7821044921875,33.53116989135742,27.49879264831543,35.51860427856445,20.984235763549805,28.84853172302246,16.900745391845703,20.29178237915039,11.620772361755371,12.38342571258545,9.698341369628906,10.890028953552246,8.089961051940918
Drake Featuring 21 Savage_Jimmy Cooks.wav,0.7289798855781555,0.2325192391872406,0.038500890135765076,-183.43763732910156,108.74787139892578,-12.874292373657227,42.31709671020508,-0.8083042502403259,26.940196990966797,-0.09840794652700424,10.44266128540039,11.093789100646973,7.45014762878418,1.1802856922149658,9.600974082946777,11.600666046142578,73.55296325683594,37.99192428588867,20.35344696044922,15.325007438659668,20.505056381225586,16.267580032348633,14.466772079467773,13.13234806060791,13.383864402770996,11.147669792175293,8.534647941589355,7.933553695678711,9.131495475769043
Drake_Search & Rescue.wav,0.9018384218215942,0.08189728856086731,0.01626424863934517,-189.34072875976562,138.4286651611328,-1.6284306049346924,46.63019561767578,-12.543633460998535,25.09926986694336,2.128727912902832,3.0934293270111084,3.009556531906128,3.821721076965332,1.4472872018814087,-0.10441660135984421,3.334369421005249,97.33563995361328,37.9808349609375,31.841005325317383,36.53434371948242,23.793033599853516,19.737823486328125,14.680089950561523,14.790045738220215,12.924888610839844,12.671030044555664,11.459847450256348,10.581419944763184,10.043408393859863
ERNEST Featuring Morgan Wallen_Flower Shops.wav,0.29312556982040405,0.6872931718826294,0.019581226631999016,-194.2122039794922,161.77926635742188,-15.241549491882324,34.76994705200195,-5.3481221199035645,14.09068775177002,-18.228412628173828,7.528935432434082,-10.515227317810059,-4.277618885040283,-9.4891939163208,-13.49648666381836,-9.752341270446777,77.48751831054688,34.3390007019043,25.085119247436523,20.50278663635254,19.401161193847656,19.165864944458008,17.436206817626953,12.200891494750977,11.606842994689941,10.244356155395508,10.181190490722656,10.298155784606934,9.935225486755371
