date,year,month,rank,title,artist,weeks
2000-03-01,2000,3,25,There You Go,P!nk,1
2000-03-01,2000,3,26,He Can't Love U,Jagged Edge,13
2000-03-01,2000,3,27,I Wanna Know,Joe,10
2000-03-01,2000,3,28,Untitled (How Does It Feel),D'Angelo,7
2000-03-01,2000,3,29,American Pie,Madonna,3
2000-03-01,2000,3,30,Forgot About Dre,Dr. Dre Featuring Eminem,7
2000-03-01,2000,3,31,Everything You Want,Vertical Horizon,7
2000-03-01,2000,3,32,Falls Apart,Sugar Ray,8
2000-03-01,2000,3,33,I Like It,Sammie,6
2000-03-01,2000,3,34,My Love Is Your Love,Whitney Houston,27
2000-03-01,2000,3,35,I Don't Wanna,Aaliyah,6
2000-03-01,2000,3,36,My Best Friend,Tim McGraw,15
2000-03-01,2000,3,37,Meet Virginia,Train,22
2000-03-01,2000,3,38,One Night Stand,J-Shin Featuring LaTocha Scott,11
2000-03-01,2000,3,39,Back At One,Mark Wills,8
2000-03-01,2000,3,40,Cowboy Take Me Away,Dixie Chicks,15
2000-03-01,2000,3,41,Smile,Lonestar,12
2000-03-01,2000,3,42,Love Is Blind,Eve Featuring Faith Evans,9
2000-03-01,2000,3,43,How Do You Like Me Now?!,Toby Keith,6
2000-03-01,2000,3,44,The Best Day,George Strait,6
2000-03-01,2000,3,45,U Know What's Up,Donell Jones,24
2000-03-01,2000,3,46,Only God Knows Why,Kid Rock,3
2000-03-01,2000,3,47,I Try,Macy Gray,3
2000-03-01,2000,3,48,Lessons Learned,Tracy Lawrence,6
2000-03-01,2000,3,49,Another Dumb Blonde,Hoku,3
2000-03-01,2000,3,50,Learn To Fly,Foo Fighters,21
2000-03-01,2000,3,51,Dear Lie,TLC,4
2000-03-01,2000,3,52,Otherside,Red Hot Chili Peppers,4
2000-03-01,2000,3,53,Love's The Only House,Martina McBride,5
2000-03-01,2000,3,54,You Sang To Me,Marc Anthony,2
2000-03-01,2000,3,55,Because You Love Me,Jo Dee Messina,6
2000-03-01,2000,3,56,Got Your Money,Ol' Dirty Bastard Featuring Kelis,20
2000-03-01,2000,3,57,This Woman Needs,SHeDAISY,5
2000-03-01,2000,3,58,Anything,Jay-Z,2
2000-03-01,2000,3,59,Hanginaround,Counting Crows,18
2000-03-01,2000,3,60,The Great Beyond,R.E.M.,11
2000-03-01,2000,3,61,Rhythm Divine,Enrique Iglesias,14
2000-03-01,2000,3,62,Been There,Clint Black With Steve Wariner,3
2000-03-01,2000,3,63,No More Rain (In This Cloud),Angie Stone,11
2000-03-01,2000,3,64,Got To Get It,Sisqo Featuring Make It Hot,16
2000-03-01,2000,3,65,G'd Up,Snoop Dogg Presents Tha Eastsidaz,9
2000-03-01,2000,3,66,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,3
2000-03-01,2000,3,67,He Didn't Have To Be,Brad Paisley,20
2000-03-01,2000,3,68,What Do You Say,Reba,19
2000-03-01,2000,3,69,24/7,Kevon Edmonds,18
2000-03-01,2000,3,70,Shake Your Bon-Bon,Ricky Martin,16
2000-03-01,2000,3,71,I Need A Hot Girl,Hot Boys,3
